word,count,sep
visuals,161,good
range,161,good
heartbreaking,160,good
People,160,good
crimes,160,good
magic,160,good
clich,159,good
kisses,159,good
success,159,good
ideas,159,good
eps,158,good
attempt,158,good
tale,158,good
exceptional,158,good
experiences,158,good
bright,157,good
today,157,good
values,157,good
months,156,good
court,156,good
teen,156,good
heroine,155,good
flawless,155,good
raw,155,good
ends,154,good
crew,154,good
means,153,good
intelligent,152,good
sub,152,good
importance,152,good
cup,152,good
fear,151,good
messages,151,good
greed,151,good
webdrama,151,good
promising,151,good
breath,150,good
excitement,150,good
questionable,150,good
sudden,150,good
hopes,150,good
baby,150,good
convincing,149,good
perfection,149,good
specific,149,good
sensitive,149,good
partner,149,good
patient,148,good
ghosts,148,good
answers,148,good
individuals,147,good
limited,147,good
effect,147,good
unpredictable,146,good
scenarios,146,good
looks,146,good
girlfriend,146,good
lover,146,good
complaints,146,good
criminal,146,good
professional,145,good
sageuk,145,good
clever,145,good
pressure,144,good
tea,144,good
passion,144,good
cat,144,good
artist,144,good
arcs,143,good
mixed,143,good
genius,143,good
stunning,143,good
tracks,143,good
types,142,good
appearance,142,good
public,142,good
environment,142,good
turns,142,good
badass,142,good
prince,142,good
naive,141,good
famous,141,good
traditional,141,good
village,141,good
frustration,141,good
scenario,141,good
childish,140,good
appropriate,140,good
control,140,good
places,140,good
fashion,140,good
suicide,140,good
lighthearted,140,good
bits,139,good
service,139,good
material,138,good
evident,138,good
arrogant,138,good
palace,138,good
recent,138,good
attitude,138,good
event,137,good
burn,137,good
plotline,137,good
comfort,136,good
watchable,136,good
opening,136,good
sex,136,good
culture,136,good
format,135,good
attractive,135,good
Plot,135,good
mothers,135,good
mark,135,good
spirit,135,good
*,135,good
toxic,135,good
era,135,good
delivery,134,good
hardships,134,good
motivations,134,good
inner,134,good
Characters,134,good
credit,134,good
quiet,134,good
confident,133,good
remake,133,good
understandable,133,good
building,133,good
extraordinary,132,good
empty,132,good
creative,132,good
screenwriter,132,good
essence,132,good
plan,132,good
rookie,132,good
fitting,131,good
setup,131,good
screentime,131,good
mysteries,131,good
media,131,good
bittersweet,130,good
precious,130,good
finish,130,good
reactions,130,good
comparison,130,good
fictional,130,good
smooth,130,good
laugh,129,good
heartfelt,129,good
variety,129,good
news,129,good
highlight,129,good
brothers,129,good
earth,129,good
take,129,good
fluff,128,good
engaging,128,good
introduction,127,good
extreme,127,good
ground,127,good
everyday,127,good
shallow,127,good
haha,127,good
fit,127,good
timing,127,good
accident,127,good
being,127,good
weeks,127,good
fi,126,good
sexual,126,good
corrupt,126,good
melodramatic,126,good
re,126,good
regular,126,good
device,126,good
mention,125,good
large,125,good
lacking,125,good
shit,125,good
energy,125,good
comfortable,124,good
backstories,124,good
goals,124,good
calm,124,good
lower,124,good
hearts,124,good
trust,124,good
doctors,123,good
intrigue,123,good
jerk,123,good
fond,123,good
guest,122,good
blue,122,good
suspenseful,122,good
resolution,122,good
2!SEASON,122,good
knowledge,122,good
conversations,121,good
ensemble,121,good
lesson,121,good
forced,121,good
cruel,121,good
contrast,121,good
sisters,121,good
