actor_name,drama_name,story_score,acting_cast_score,music_score,rewatch_value_score,overall_score
Cha Hun,Romance by Romance,7.3,7.0,6.3,6.8,7.2
Cha Hun,Woof & Meow – Do you Love Me?,7.0,7.5,5.3,4.5,7.3
Cha Hwa Yun,Mom,4.0,4.5,1.0,1.0,4.0
Cha Hwa Yun,Once Again,9.0,9.1,8.2,8.4,9.0
Cha Hwa Yun,Run On,8.0,9.1,8.0,6.9,8.2
Cha Hwa Yun,Secret Mother,8.1,9.0,7.6,6.1,8.2
Cha In Ha,Idol Fever,6.0,8.0,5.8,4.2,5.8
Cha In Ha,Love with Flaws,6.1,8.2,8.0,4.9,6.6
Cha In Ha,Miss Independent Ji Eun Season 2,8.0,8.2,7.7,6.8,8.1
Cha In Pyo,The Gentlemen of Wolgyesu Tailor Shop,8.2,9.0,7.5,5.8,8.2
Cha Jae Hoon,Phantom School,7.5,7.8,8.4,5.5,7.9
Cha Jae Hoon,Semantic Error,8.5,9.1,8.8,9.4,9.2
Cha Ji Yeon,Remarriage and Desires,7.4,8.5,8.8,5.0,7.5
Cha Ji Yeon,Taxi Driver,7.4,9.2,7.8,5.7,7.8
Cha Joo Young,Chimera,8.6,8.8,7.3,7.3,8.2
Cha Joo Young,The Spies Who Loved Me,6.8,7.8,6.5,5.7,7.0
Cha Jung Won,Eccentric! Chef Moon,6.5,8.2,6.0,3.5,6.7
Cha Jung Won,Oh! Dear Half-Basement Goddesses,7.0,9.0,2.0,3.5,9.0
Cha Jung Won,Wednesday 3:30 PM,7.3,7.9,8.2,6.2,7.8
Cha Kwang Soo,Jinxed at First,4.8,6.1,5.4,2.2,5.0
Cha Kwang Soo,King Maker: The Change of Destiny,8.3,8.6,8.7,5.8,8.2
